title,image_url
Momo Kyun Sword,https://cdn.myanimelist.net/images/anime/2/64445.jpg
Bust to Bust: Chichi wa Chichi ni,https://cdn.myanimelist.net/images/anime/4/59741.jpg
Onara Gorou,https://cdn.myanimelist.net/images/anime/2/79963.jpg
A-Size Classmate,https://cdn.myanimelist.net/images/anime/4/78826.jpg
Taikong Lixianji,https://cdn.myanimelist.net/images/anime/4/84741.jpg
Kono Minikuku mo Utsukushii Sekai,https://cdn.myanimelist.net/images/anime/10/21035.jpg
Go! Go! 575,https://cdn.myanimelist.net/images/anime/12/75228.jpg
Daybreak Interlude,https://cdn.myanimelist.net/images/anime/1369/91721.jpg
Mezzo Forte,https://cdn.myanimelist.net/images/anime/6/37391.jpg
Shirahata no Shoujo Ryuuko,https://cdn.myanimelist.net/images/anime/8/26442.jpg
Master Keaton,https://cdn.myanimelist.net/images/anime/10/2817.jpg
Choujin Densetsu Urotsukidouji: Mirai-hen,https://cdn.myanimelist.net/images/anime/13/6035.jpg
Shoujo kara Shoujo e...,https://cdn.myanimelist.net/images/anime/11/78059.jpg
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",https://cdn.myanimelist.net/images/anime/6/89687.jpg
Platonic Chain: Ansatsu Jikkouchuu,https://cdn.myanimelist.net/images/anime/8/83126.jpg
Shugo Chara! Party!,https://cdn.myanimelist.net/images/anime/6/17170.jpg
Devilman Memorial,https://cdn.myanimelist.net/images/anime/10/86910.jpg
Haikara-san ga Tooru,https://cdn.myanimelist.net/images/anime/2/22741.jpg
Henbou Moral Hazard,https://cdn.myanimelist.net/images/anime/11/5934.jpg
Dolphin Ouji,https://cdn.myanimelist.net/images/anime/5/24629.jpg
Samayou Midara na Lunatics,https://cdn.myanimelist.net/images/anime/6/33327.jpg
Pochacco no Jack to Mame no Ki,https://cdn.myanimelist.net/images/anime/11/58711.jpg
Nintama Rantarou Movie,https://cdn.myanimelist.net/images/anime/10/3649.jpg
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,https://cdn.myanimelist.net/images/anime/11/20921.jpg
Meshimase Lodoss-tou Senki: Sorette Oishii no?,https://cdn.myanimelist.net/images/anime/4/60627.jpg
Dragon Ball Specials,https://cdn.myanimelist.net/images/anime/13/24380.jpg
Treasure Gaust,https://cdn.myanimelist.net/images/anime/3/53535.jpg
Petit Eva: Evangelion@School,https://cdn.myanimelist.net/images/anime/10/7593.jpg
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,https://cdn.myanimelist.net/images/anime/1920/92378.jpg
Binan Koukou Chikyuu Boueibu LOVE!,https://cdn.myanimelist.net/images/anime/10/68451.jpg
Tatamp,https://cdn.myanimelist.net/images/anime/9/64973.jpg
Gongnyong Baengmannyeon Ttori,https://cdn.myanimelist.net/images/anime/12/45244.jpg
Ghiblies,https://cdn.myanimelist.net/images/anime/6/75924.jpg
WWW.Working!!,https://cdn.myanimelist.net/images/anime/11/82287.jpg
Balloon,https://cdn.myanimelist.net/images/anime/11/75303.jpg
Girlfriend (Note),https://cdn.myanimelist.net/images/anime/8/82065.jpg
Yamiyo no Jidaigeki,https://cdn.myanimelist.net/images/anime/10/61537.jpg
Shin Mitsubachi Maya no Bouken,https://cdn.myanimelist.net/images/anime/10/22043.jpg
Mahou no Star Magical Emi: Finale! Finale!,https://cdn.myanimelist.net/images/anime/5/80148.jpg
Osamishi Tani no Wakare Uta,https://cdn.myanimelist.net/images/anime/6/72050.jpg
Kuroko no Basket: Baka ja Katenai no yo!,https://cdn.myanimelist.net/images/anime/12/55501.jpg
Hacka Doll The Animation,https://cdn.myanimelist.net/images/anime/6/75751.jpg
Dr. Slump: Arale-chan Specials,https://cdn.myanimelist.net/images/anime/13/68505.jpg
Ranma ½: 1994 Music Calendar,https://cdn.myanimelist.net/images/anime/6/29891.jpg
Yami no Purple Eye,https://cdn.myanimelist.net/images/anime/8/26389.jpg
Anime Koukyoushi: Jungle Taitei,https://cdn.myanimelist.net/images/anime/4/36639.jpg
Akai Koudan Zillion: Utahime Yakyoku,https://cdn.myanimelist.net/images/anime/5/28508.jpg
Sore Ike! Anpanman: Kirakira Boshi no Namida,https://cdn.myanimelist.net/images/anime/2/43533.jpg
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,https://cdn.myanimelist.net/images/anime/10/67205.jpg
Nezumi-kun no Chokki,https://cdn.myanimelist.net/images/anime/10/67465.jpg
Defend Love,https://cdn.myanimelist.net/images/anime/12/19470.jpg
Apache Yakyuugun,https://cdn.myanimelist.net/images/anime/5/78281.jpg
Good Morning!!! Doronjo,https://cdn.myanimelist.net/images/anime/2/76387.jpg
Kiss x Sis (TV),https://cdn.myanimelist.net/images/anime/3/25518.jpg
