title,image_url
Shoujo kara Shoujo e...,https://myanimelist.cdn-dena.com/images/anime/11/78059.jpg
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",https://myanimelist.cdn-dena.com/images/anime/6/89687.jpg
Platonic Chain: Ansatsu Jikkouchuu,https://myanimelist.cdn-dena.com/images/anime/8/83126.jpg
Shugo Chara! Party!,https://myanimelist.cdn-dena.com/images/anime/6/17170.jpg
Devilman Memorial,https://myanimelist.cdn-dena.com/images/anime/10/86910.jpg
Haikara-san ga Tooru,https://myanimelist.cdn-dena.com/images/anime/2/22741.jpg
Henbou Moral Hazard,https://myanimelist.cdn-dena.com/images/anime/11/5934.jpg
Dolphin Ouji,https://myanimelist.cdn-dena.com/images/anime/5/24629.jpg
Samayou Midara na Lunatics,https://myanimelist.cdn-dena.com/images/anime/6/33327.jpg
Pochacco no Jack to Mame no Ki,https://myanimelist.cdn-dena.com/images/anime/11/58711.jpg
Nintama Rantarou Movie,https://myanimelist.cdn-dena.com/images/anime/10/3649.jpg
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,https://myanimelist.cdn-dena.com/images/anime/11/20921.jpg
Meshimase Lodoss-tou Senki: Sorette Oishii no?,https://myanimelist.cdn-dena.com/images/anime/4/60627.jpg
Dragon Ball Specials,https://myanimelist.cdn-dena.com/images/anime/13/24380.jpg
Treasure Gaust,https://myanimelist.cdn-dena.com/images/anime/3/53535.jpg
Petit Eva: Evangelion@School,https://myanimelist.cdn-dena.com/images/anime/10/7593.jpg
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,https://myanimelist.cdn-dena.com/images/anime/1920/92378.jpg
Binan Koukou Chikyuu Boueibu LOVE!,https://myanimelist.cdn-dena.com/images/anime/10/68451.jpg
Tatamp,https://myanimelist.cdn-dena.com/images/anime/9/64973.jpg
Gongnyong Baengmannyeon Ttori,https://myanimelist.cdn-dena.com/images/anime/12/45244.jpg
Ghiblies,https://myanimelist.cdn-dena.com/images/anime/6/75924.jpg
WWW.Working!!,https://myanimelist.cdn-dena.com/images/anime/11/82287.jpg
Balloon,https://myanimelist.cdn-dena.com/images/anime/11/75303.jpg
Girlfriend (Note),https://myanimelist.cdn-dena.com/images/anime/8/82065.jpg
Yamiyo no Jidaigeki,https://myanimelist.cdn-dena.com/images/anime/10/61537.jpg
Shin Mitsubachi Maya no Bouken,https://myanimelist.cdn-dena.com/images/anime/10/22043.jpg
Mahou no Star Magical Emi: Finale! Finale!,https://myanimelist.cdn-dena.com/images/anime/5/80148.jpg
Osamishi Tani no Wakare Uta,https://myanimelist.cdn-dena.com/images/anime/6/72050.jpg
Kuroko no Basket: Baka ja Katenai no yo!,https://myanimelist.cdn-dena.com/images/anime/12/55501.jpg
Hacka Doll The Animation,https://myanimelist.cdn-dena.com/images/anime/6/75751.jpg
Dr. Slump: Arale-chan Specials,https://myanimelist.cdn-dena.com/images/anime/13/68505.jpg
Ranma ½: 1994 Music Calendar,https://myanimelist.cdn-dena.com/images/anime/6/29891.jpg
Yami no Purple Eye,https://myanimelist.cdn-dena.com/images/anime/8/26389.jpg
Anime Koukyoushi: Jungle Taitei,https://myanimelist.cdn-dena.com/images/anime/4/36639.jpg
Akai Koudan Zillion: Utahime Yakyoku,https://myanimelist.cdn-dena.com/images/anime/5/28508.jpg
Sore Ike! Anpanman: Kirakira Boshi no Namida,https://myanimelist.cdn-dena.com/images/anime/2/43533.jpg
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,https://myanimelist.cdn-dena.com/images/anime/10/67205.jpg
Nezumi-kun no Chokki,https://myanimelist.cdn-dena.com/images/anime/10/67465.jpg
Defend Love,https://myanimelist.cdn-dena.com/images/anime/12/19470.jpg
Apache Yakyuugun,https://myanimelist.cdn-dena.com/images/anime/5/78281.jpg
Good Morning!!! Doronjo,https://myanimelist.cdn-dena.com/images/anime/2/76387.jpg
Kiss x Sis (TV),https://myanimelist.cdn-dena.com/images/anime/3/25518.jpg
Koto no Shidai,https://myanimelist.cdn-dena.com/images/anime/10/86847.jpg
Ganbare! Marine Kid,https://myanimelist.cdn-dena.com/images/anime/9/24675.jpg
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,https://myanimelist.cdn-dena.com/images/anime/2/17720.jpg
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,https://myanimelist.cdn-dena.com/images/anime/13/72853.jpg
Tick Tock,https://myanimelist.cdn-dena.com/images/anime/6/84139.jpg
Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,https://myanimelist.cdn-dena.com/images/anime/8/84745.jpg
Yakin Byoutou Ni,https://myanimelist.cdn-dena.com/images/anime/10/44273.jpg
Tennis no Ouji-sama,https://myanimelist.cdn-dena.com/images/anime/6/21624.jpg
Egao,https://myanimelist.cdn-dena.com/images/anime/6/68979.jpg
Raldessia Chronicles,https://myanimelist.cdn-dena.com/images/anime/4/77367.jpg
Gunnm,https://myanimelist.cdn-dena.com/images/anime/11/41257.jpg
