MAL_ID,Name,English name
397,Seikai no Senki II,Banner of the Stars II
398,Seikai no Senki III,Unknown
399,Seikai no Senki Special,Unknown
400,Seihou Bukyou Outlaw Star,Outlaw Star
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,Samurai X:Reflection
402,Otogi Juushi Akazukin OVA,Unknown
403,Hanaukyou Maid-tai,Unknown
404,Bastard!!: Ankoku no Hakaishin,Bastard!!
405,Blood: The Last Vampire,Blood:The Last Vampire
406,Buzzer Beater,Unknown
407,Tantei Gakuen Q,Detective School Q
408,Final Fantasy VII: Last Order,Final Fantasy VII:Last Order
411,Gun x Sword,Gun x Sword
412,Kore ga Watashi no Goshujinsama,He is My Master
413,Hametsu no Mars,Mars of Destruction
415,Tonari no Yamada-kun,My Neighbors the Yamadas
416,Kurenai no Buta,Porco Rosso
417,Ragnarök The Animation,Ragnarok the Animation
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Ranma ½:Big Trouble in Nekonron, China"
419,Samurai Deeper Kyou,Samurai Deeper Kyo
420,Spriggan,Spriggan
421,Stratos 4,Unknown
422,Stratos 4 OVA,Unknown
423,Stratos 4 Advance,Unknown
424,Dirty Pair,Dirty Pair
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,Araiso Private High School Student Council Executive Committee
426,Final Fantasy,Legend of the Crystals:Final Fantasy
427,Kaleido Star,Kaleido Star
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,Kaleido Star:New Wings Extra Stage
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,Kaleido Star:Legend of Phoenix - The Layla Hamilton Story
430,Fullmetal Alchemist: The Conqueror of Shamballa,Fullmetal Alchemist:The Movie - Conqueror of Shamballa
431,Howl no Ugoku Shiro,Howl's Moving Castle
432,Iria: Zeiram The Animation,Iria:Zeiram The Animation
433,"Kumo no Mukou, Yakusoku no Basho",The Place Promised in Our Early Days
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,Legend of Lemnear
435,Magic Knight Rayearth,Magic Knight Rayearth
437,Perfect Blue,Perfect Blue
438,Phantom The Animation,Phantom:The Animation
439,RG Veda,RG Veda
440,Shoujo Kakumei Utena,Revolutionary Girl Utena
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,Revolutionary Girl Utena:The Adolescence of Utena
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Naruto the Movie:Ninja Clash in the Land of Snow
443,Onegai☆Teacher: Himitsu na Futari,Unknown
444,Maria-sama ga Miteru: Haru,Maria Watches Over Us:Printemps
445,Tales of Eternia The Animation,Tales of Eternia
446,Weiß Kreuz Glühen,Knight Hunters Eternity
447,Weiß Kreuz,Knight Hunters
448,Tenjou Tenge: The Ultimate Fight,Tenjho Tenge:The Ultimate Fight
449,InuYasha Movie 4: Guren no Houraijima,InuYasha the Movie 4:Fire on the Mystic Island
450,InuYasha Movie 2: Kagami no Naka no Mugenjo,InuYasha the Movie 2:The Castle Beyond the Looking Glass
451,InuYasha Movie 3: Tenka Hadou no Ken,InuYasha the Movie 3:Swords of an Honorable Ruler
452,InuYasha Movie 1: Toki wo Koeru Omoi,InuYasha the Movie:Affections Touching Across Time
454,.hack//Gift,.hack//Gift
455,Fantastic Children,Fantastic Children
456,Gokujou Seitokai,Best Student Council
457,Mushishi,Mushi-Shi
458,Buttobi!! CPU,I Dream of Mimi
459,One Piece Movie 1,Unknown
460,One Piece Movie 2: Nejimaki-jima no Daibouken,One Piece:Clockwork Island Adventure
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,One Piece:Chopper Kingdom of Strange Animal Island
